u_true,u_pred,v_true,v_pred,date
-0.010402831,0.012265328,-0.0514834,-0.031754505,2023-09-27
-0.012393168,-0.018514277,-0.017806888,-0.017494205,2023-04-23
-0.03346421,-0.026677398,-0.0012207404,0.00085795484,2023-04-24
-0.041213255,-0.027986428,0.015445019,0.0023851711,2023-04-19
-0.022079479,-0.025661198,-0.02587439,-0.013411477,2023-04-07
0.017700735,0.014682315,-0.05219992,-0.02557607,2023-09-08
0.017461894,0.014769423,-0.0077755856,-0.0125319995,2023-08-10
0.027307432,0.018546622,-0.018390719,-0.015529711,2023-06-21
-0.0064486936,-0.014370175,0.0049891127,0.012462011,2023-05-01
0.024812875,0.023709232,-0.01005784,-0.0125597045,2023-08-14
-0.0026537834,0.012141732,-0.03638337,-0.017279886,2023-09-29
0.021389494,0.012371641,-0.02192025,-0.007609768,2023-07-11
-0.012207404,-0.026611907,-0.0016718835,0.0034219958,2023-05-20
0.016612684,0.020267103,-0.014303893,-0.010657927,2023-09-23
-0.00931478,-0.01444356,0.00039806752,-0.0016940646,2023-05-27
-0.016559608,-0.023136048,-0.0016984214,-0.0048964154,2023-03-26
0.062204685,0.04103589,-0.040655963,-0.022310037,2023-08-02
0.016984213,0.017315513,-0.018948013,-0.016507208,2023-08-20
0.0040868265,-0.0031354707,0.0026537834,-0.001419507,2023-05-30
-0.02584785,-0.019346615,-0.0151265655,-0.009142142,2023-04-11
-0.030173518,-0.0292938,-0.009049402,-0.0016974099,2023-04-13
0.03930253,0.017258836,-0.05498639,-0.02708061,2023-07-15
0.001114589,0.00893892,0.019054165,0.036458857,2023-03-04
-0.02059336,-0.015716283,-0.012419706,-0.004516203,2023-05-07
